tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***56635,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,1022,NR,238 WELLINGTON ST W,,,ON
***11076,20100103,25,PARK-SIGNED TAXICAB STAND,30,1023,N/S,BLOOR ST W,W/O,BATHURST ST,QC
***56636,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,1024,NR,270 WELLINGTON ST W,,,ON
***17693,20100103,5,PARK HWY AT PROHIB TIME/DAY,40,1027,NR,4 MASCOT PL,,,ON
***56637,20100103,6,PARK HWY IN EXCESS PRMTD TIME,30,1028,NR,9 CLARENCE SQ,,,ON
***82256,20100103,347,PARK IN A FIRE ROUTE,250,1029,AT,462 BIRCHMOUNT RD,,,ON
***56638,20100103,6,PARK HWY IN EXCESS PRMTD TIME,30,1029,NR,13 CLARENCE SQ,,,ON
***82257,20100103,347,PARK IN A FIRE ROUTE,250,1030,AT,462 BIRCHMOUNT RD,,,ON
***56639,20100103,15,PARK 3M OF FIRE HYDRANT,100,1031,NR,14 CLARENCE SQ,,,ON
***28167,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1032,NR,86 BERKSHIRE AVE,,,ON
***88876,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1032,NR,591 SHERBOURNE ST,,,ON
***41283,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1033,,3479 ST CLAIR AV E,,,ON
***64436,20100103,30,STOP ON/OVER SIDEWALK/PATH,60,1033,NR,249 QUEENSLEA AVE,,,ON
***11628,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1033,OPP,353 WAVERLEY RD,,,ON
***21174,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1035,NR,1046 ST CLAIR AVE W,,,ON
***28168,20100103,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,1036,NR,74 CAROLINE AVE,,,ON
***21570,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1037,NR,56 WELLINGTON ST E,,,ON
***84224,20100103,210,PARK FAIL TO DISPLAY RECEIPT,30,1038,NR,40 ASQUITH AVE,,,ON
***28169,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1038,NR,21 CAROLINE AVE,,,ON
***86629,20100103,16,PARK - 9M OF INTERSECTING HWY,40,1038,OPP,1703 DUNDAS ST W,,,ON
***73821,20100103,49,FAIL TO PARK/STOP PARA RH HWY,15,1039,NR,25 PARKWAY FOREST DR,,,ON
***82258,20100103,9,STOP HWY PRO TIME/DAYS,60,1040,OPP,124 PATTERSON AVE,,,ON
